_id,Kecamatan,Jenis Faskes,Penyelenggara Faskes,Nama Faskes
413,Mulyorejo,Apotek,swasta,MUJUR SURYA
414,Mulyorejo,Apotek,swasta,MELISA FARMA
415,Mulyorejo,Apotek,swasta,ELHA
416,Mulyorejo,Apotek,swasta,WATSONS EAST COST
417,Mulyorejo,Apotek,swasta,ENGGAL HUSADA
418,Mulyorejo,Apotek,swasta,UNI MEDIKA
419,Mulyorejo,Apotek,swasta,WATSONS GALAXY MALL SURABAYA
420,Mulyorejo,Apotek,swasta,GUARDIAN GALAXY MALL 3
421,Mulyorejo,Apotek,swasta,AIRDAS FARMA
422,Mulyorejo,Apotek,swasta,WATSONS GALAX MALL 2
423,Mulyorejo,Apotek,swasta,36 Merr
424,Mulyorejo,Toko Obat,swasta,INTISARI
425,Mulyorejo,Toko Obat,swasta,ZHONG YAO
426,Mulyorejo,Toko Obat,swasta,BOSTON HEALTH & BEAUTY ECC
427,Mulyorejo,Toko Obat,swasta,SUPERINDO KERTAJAYA
428,Mulyorejo,Toko Obat,swasta,Hypermart ECC
429,Mulyorejo,Toko Obat,swasta,Super Indo Central Park
430,Mulyorejo,Toko Obat,swasta,GUARDIAN EAST COST
431,Mulyorejo,Toko Obat,swasta,RANCH MARKET
432,Mulyorejo,Klinik Pratama,swasta,PLK - UA KAMPUS C UNAIR
433,Mulyorejo,Klinik Pratama,swasta,DOKTER AYOMAN KELUARGA
434,Mulyorejo,Klinik Pratama,swasta,ABDI MULIA
435,Mulyorejo,Klinik Pratama,swasta,dr. Subur Prajitno
436,Mulyorejo,Klinik Pratama,swasta,YAYASAN SOSIAL ABDIHUSADA UTAMA
437,Mulyorejo,Klinik Pratama,swasta,ZAP GALAKSI
438,Mulyorejo,Klinik Pratama,swasta,SKIDENT AESTHETIC CENTER
439,Mulyorejo,Klinik Pratama,swasta,ANF
440,Mulyorejo,Klinik Pratama,swasta,LONDON BEAUTY CENTRE
441,Mulyorejo,Klinik Pratama,swasta,BIOTECH
442,Mulyorejo,Klinik Utama,swasta,3D CLINIC
443,Mulyorejo,Klinik Utama,swasta,MEDIKA UTAMA 2
444,Mulyorejo,Klinik Utama,swasta,WIDJAJA ASTHMA CENTRE
445,Mulyorejo,Klinik Utama,swasta,SHINY SMILE DENTAL CLINIC
446,Mulyorejo,Klinik Utama,swasta,SAYANG DIAGNOSTIC CENTER
447,Mulyorejo,Klinik Utama,swasta,PRAMITA
448,Mulyorejo,Klinik Utama,swasta,MIRACLE AESTHETIC CLINIC
449,Mulyorejo,Klinik Utama,swasta,ORTHO PLUS
450,Mulyorejo,Klinik Utama,swasta,PROFIRA
451,Mulyorejo,Klinik Utama,swasta,ERHA APOTHECARY GALAXY MALL
452,Mulyorejo,Klinik Utama,swasta,NATIONAL EYE CENTER
453,Mulyorejo,Klinik Utama,swasta,NUSANTARA MEDIKA
454,Mulyorejo,Klinik Utama,swasta,VISION EYE CLINIC
455,Mulyorejo,Klinik Utama,swasta,PARAHITA DIAGNOSTIC CENTER
456,Mulyorejo,Klinik Utama,swasta,TETA
457,Mulyorejo,Klinik Utama,swasta,MITRA HUSADA
458,Pabean Cantian,Rumah Sakit Umum,BUMN,RS Primasatya Husada Citra (PHC) Surabaya
459,Pabean Cantian,Apotek,lainnya,KIMIA FARMA NO.304
460,Pabean Cantian,Puskesmas Induk,Pemerintah Kota,Puskesmas Perak Timur
461,Pabean Cantian,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Bongkaran
462,Pabean Cantian,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Nyamplungan
463,Pabean Cantian,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Perak Barat
464,Pabean Cantian,Rumah Sakit Umum,Swasta,RS PKU Muhammadiyah Surabaya
465,Pabean Cantian,Rumah Sakit Umum,Swasta,RS Umum Al-Irsyad Surabaya
466,Pabean Cantian,Apotek,swasta,AN JAYA
467,Pabean Cantian,Apotek,swasta,BUNGURAN
468,Pabean Cantian,Apotek,swasta,ATUM FARMA
469,Pabean Cantian,Apotek,swasta,IBUNDA
470,Pabean Cantian,Apotek,swasta,BERLIN
471,Pabean Cantian,Apotek,swasta,8 ( DELAPAN )
472,Pabean Cantian,Apotek,swasta,BERLIN 2
473,Pabean Cantian,Apotek,swasta,SAMPURNA FARMA
474,Pabean Cantian,Apotek,swasta,SINAR BAHAGIA
475,Pabean Cantian,Apotek,swasta,BERKAH MAKMUR
476,Pabean Cantian,Apotek,swasta,K24 Kopelindo 3
477,Pabean Cantian,Toko Obat,swasta,SARI WARAS
478,Pabean Cantian,Toko Obat,swasta,MANDARIN
479,Pabean Cantian,Toko Obat,swasta,ASEAN
480,Pabean Cantian,Toko Obat,swasta,SAUDARA
481,Pabean Cantian,Toko Obat,swasta,SAHABAT KITA JAYA
482,Pabean Cantian,Toko Obat,swasta,SAUDARA ONLINE
483,Pabean Cantian,Toko Obat,swasta,BIE
484,Pabean Cantian,Toko Obat,swasta,MANDARIN 2
485,Pabean Cantian,Klinik Pratama,swasta,SEBU
486,Pabean Cantian,Klinik Utama,swasta,WIBOWO DENTAL CLINIC
487,Pabean Cantian,Klinik Utama,swasta,OILIA
488,Pabean Cantian,Rumah Sakit Umum,TNI/POLRI,RS TNI AL Dr. Oepomo
489,Pabean Cantian,Klinik Pratama,TNI/POLRI,POLRES PELABUHAN TANJUNG PERAK
490,Pakal,Puskesmas Induk,Pemerintah Kota,Puskesmas Benowo
491,Pakal,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Babat Jerawat
492,Pakal,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Pakal
493,Pakal,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Sumber Rejo
494,Pakal,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Tambak Dono
495,Pakal,Rumah Sakit Umum,Swasta,RS Islam Darus Syifa
496,Pakal,Apotek,swasta,BENOWO FARMA
497,pakal,Apotek,swasta,APP 3 PAKAL
498,Pakal,Klinik Utama,swasta,3D CLINIC
499,Rungkut,Apotek,lainnya,KIMIA FARMA PANDUGO
500,Rungkut,Apotek,lainnya,KIMIA FARMA 526 RUNGKUT
501,Rungkut,Puskesmas Induk,Pemerintah Kota,Puskesmas Kalirungkut
502,Rungkut,Puskesmas Induk,Pemerintah Kota,Puskesmas Medokan Ayu
503,Rungkut,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Medokan Ayu
504,Rungkut,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Penjaringan Sari
505,Rungkut,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Rungkut Kidul
506,Rungkut,Rumah Sakit Umum,Swasta,RS Umum Royal Surabaya
507,Rungkut,Apotek,swasta,SETIABUDI
508,Rungkut,Apotek,swasta,SIDO WARAS
509,Rungkut,Apotek,swasta,VALENTINO
510,Rungkut,Apotek,swasta,JIREH
511,Rungkut,Apotek,swasta,ELLY
512,Rungkut,Apotek,swasta,GOHLIS
513,Rungkut,Apotek,swasta,DANDE FARMA
514,Rungkut,Apotek,swasta,CENTRO
515,Rungkut,Apotek,swasta,JESA INTI FARMA
516,Rungkut,Apotek,swasta,TAKAVI
517,Rungkut,Apotek,swasta,MEDAYU FARMA
518,Rungkut,Apotek,swasta,ARDILA
519,Rungkut,Apotek,swasta,VIVA GENERIK KEDUNG ASEM
520,Rungkut,Apotek,swasta,CENDRAWASIH
521,Rungkut,Apotek,swasta,VIVA GENERIK MEDOKAN SAWAH
522,Rungkut,Apotek,swasta,K - 24 RUNGKUT ASRI
523,Rungkut,Apotek,swasta,JECONIA
524,Rungkut,Apotek,swasta,HASIL
525,Rungkut,Apotek,swasta,VIVA APOTEK WONOREJO SELATAN
526,Rungkut,Apotek,swasta,MEGA RAYA
527,Rungkut,Apotek,swasta,K 24 RUNGKUT MADYA
528,Rungkut,Apotek,swasta,SAHABAT MEDIKA
529,Rungkut,Apotek,swasta,VIVA APOTEK RUNGKUT MEJOYO
530,Rungkut,Apotek,swasta,K-24 MEDOKAN AYU
531,Rungkut,Apotek,swasta,DASSA ALPHA
532,Rungkut,Apotek,swasta,FORA MEDICAL
533,Rungkut,Apotek,swasta,MEI FARMA
534,Rungkut,Apotek,swasta,K24 Tenggilis
535,Rungkut,Apotek,swasta,Rungkut Sehat
536,Rungkut,Apotek,swasta,Rungkut
537,Rungkut,Toko Obat,swasta,toko Obat PT. Trans Retail Indonesia Cabang Transmart Carrefour Rungkut Surabaya
538,Rungkut,Toko Obat,swasta,Super Indo Rungkut
539,Rungkut,Toko Obat,swasta,BERKAT WAHYU
540,Rungkut,Klinik Pratama,swasta,WIDYA MANDIRI
541,Rungkut,Klinik Pratama,swasta,dr. EKO
542,Rungkut,Klinik Pratama,swasta,PT. HM Sampoerna Tbk
543,Rungkut,Klinik Pratama,swasta,CITA HUSADA
544,Rungkut,Klinik Pratama,swasta,PT.HM Sampoerna Tbk
545,Rungkut,Klinik Pratama,swasta,YAYUK ISMAIL
546,Rungkut,Klinik Pratama,swasta,PT. UNILEVER INDONESIA Tbk
547,Rungkut,Klinik Pratama,swasta,D'ESTHETICO
548,Rungkut,Klinik Pratama,swasta,UBAYA
549,Rungkut,Klinik Pratama,swasta,NAYAKA HUSADA 42
550,Rungkut,Klinik Pratama,swasta,dr. NICE
551,Rungkut,Klinik Pratama,swasta,MEDIKA PRADHANA
552,Rungkut,Klinik Pratama,swasta,MICHELLE
553,Rungkut,Klinik Pratama,swasta,SUPER SKIN
554,Rungkut,Klinik Pratama,swasta,ROYAL CLINIC MERR
555,Rungkut,Klinik Pratama,swasta,DELOVELY RUNGKUT
556,Rungkut,Klinik Pratama,swasta,KESAYANGAN
557,Rungkut,Klinik Utama,swasta,PUSURA RUNGKUT
558,Rungkut,Klinik Utama,swasta,dr. HARYO Eye Care
559,Rungkut,Klinik Utama,swasta,ANARE
560,Rungkut,Klinik Utama,swasta,CT KLINIK
561,Sambikerep,Puskesmas Induk,Pemerintah Kota,Puskesmas Lontar
562,Sambikerep,Puskesmas Induk,Pemerintah Kota,Puskesmas Made
563,Sambikerep,Rumah Sakit Khusus,Swasta,RS Ibu dan Anak Nur Ummi Numbi
564,Sambikerep,Rumah Sakit Khusus,Swasta,RS Ibu dan Anak Lombok Dua Dua Lontar
565,Sambikerep,Apotek,swasta,TENGGER 3
566,Sambikerep,Apotek,swasta,GLORY
567,Sambikerep,Apotek,swasta,GEMMA FARMA
568,Sambikerep,Apotek,swasta,BRINGIN INDAH
569,Sambikerep,Apotek,swasta,TIARA CITRA RAYA
570,Sambikerep,Apotek,swasta,VIVA GENERIK BUMI INDAH
571,Sambikerep,Apotek,swasta,SAMBIKEREP
572,Sambikerep,Apotek,swasta,APP 2 LONTAR
573,Sambikerep,Apotek,swasta,AQILAH
574,Sambikerep,Apotek,swasta,MANUKAN
575,Sambikerep,Apotek,swasta,RODISON
576,Sambikerep,Apotek,swasta,ANUGERAH MEDIKA
577,Sambikerep,Apotek,swasta,UTAMA SAMBIKEREP
578,Sambikerep,Apotek,swasta,K24 LONTAR
579,Sambikerep,Toko Obat,swasta,HYPERMART SUPERMALL PAKUWON INDAH
580,Sambikerep,Toko Obat,swasta,BAROKAH
581,Sambikerep,Klinik Pratama,swasta,"POLY ""PT. PAKUWON PERMAI"""
582,Sambikerep,Klinik Pratama,swasta,ERHA APOTHECARY
583,Sambikerep,Klinik Pratama,swasta,CAHAYA DAMAI
584,Sambikerep,Klinik Pratama,swasta,MEDPOINT
585,Sambikerep,Klinik Pratama,swasta,MIFTACHUL MUNIR MEDIKA
586,Sambikerep,Klinik Pratama,swasta,THE EMDEE SKIN CLINIC
587,Sambikerep,Klinik Pratama,swasta,HAYYU SYAR'I
588,Sambikerep,Klinik Utama,swasta,EZMO CLINIC
589,Sambikerep,Klinik Utama,swasta,LINA LICA
590,Sambikerep,Klinik Utama,swasta,TEETH TOOTH
591,Sawahan,Apotek,lainnya,KIMIA FARMA NO.243
592,Sawahan,Puskesmas Induk,Pemerintah Kota,Puskesmas Banyu Urip
593,Sawahan,Puskesmas Induk,Pemerintah Kota,Puskesmas Pakis
594,Sawahan,Puskesmas Induk,Pemerintah Kota,Puskesmas Putat Jaya
595,Sawahan,Puskesmas Induk,Pemerintah Kota,Puskesmas Sawahan
596,Sawahan,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Petemon
597,Sawahan,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Putat Jaya
598,Sawahan,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Simokatrungan
599,Sawahan,Rumah Sakit Umum,Swasta,Mayapada Hospital Surabaya
600,Sawahan,Apotek,swasta,AGAPE
601,Sawahan,Apotek,swasta,MITRA FARMA
602,Sawahan,Apotek,swasta,KHEN
603,Sawahan,Apotek,swasta,PURI FARMA
604,Sawahan,Apotek,swasta,MENGGALA
605,Sawahan,Apotek,swasta,STEVEN
606,Sawahan,Apotek,swasta,DWI JAYA
607,Sawahan,Apotek,swasta,SUGENG
608,Sawahan,Apotek,swasta,FAJAR
609,Sawahan,Apotek,swasta,TENOJAYA
610,Sawahan,Apotek,swasta,TOWER FARMA
611,Sawahan,Apotek,swasta,ARI FARMA
612,Sawahan,Apotek,swasta,DAMAI
613,Sawahan,Apotek,swasta,C n C
614,Sawahan,Apotek,swasta,DEWI FARMA
615,Sawahan,Apotek,swasta,VIVA APOTEK SIMO GUNUNG
616,Sawahan,Apotek,swasta,VIVA APOTEK BANYU URIP WETAN
617,Sawahan,Apotek,swasta,PELITA JAYA
618,Sawahan,Apotek,swasta,VIVA APOTEK PACUAN KUDA
619,Sawahan,Apotek,swasta,MZ 8
620,Sawahan,Apotek,swasta,VIVA APOTEK PETEMON BARAT
621,Sawahan,Apotek,swasta,PAHALA PACUAN
622,Sawahan,Apotek,swasta,K-24 SIMO KWAGEAN
623,Sawahan,Toko Obat,swasta,SUMBER SELAMET
624,Sawahan,Toko Obat,swasta,Multi Sehat Jaya
625,Sawahan,Klinik Utama,swasta,PRAMITA
626,Sawahan,Klinik Pratama,swasta,HIDAYAH
627,Sawahan,Klinik Pratama,swasta,KIMIA FARMA BANYU URIP
628,Sawahan,Klinik Pratama,swasta,CLARICE
629,Sawahan,Klinik Pratama,swasta,DELOVELY
630,Sawahan,Klinik Pratama,swasta,BDS PACUAN KUDA
631,Sawahan,Klinik Pratama,swasta,PUSURA SUNGKONO
632,Sawahan,Klinik Pratama,swasta,Lazarus
633,Sawahan,Klinik Utama,swasta,dr. RUSTIADJI
634,Sawahan,Klinik Utama,swasta,PRAMITA
635,Semampir,Klinik Pratama,lainnya,AMPEL
636,Semampir,Puskesmas Induk,Pemerintah Kota,Puskesmas Pegirian
637,Semampir,Puskesmas Induk,Pemerintah Kota,Puskesmas Sawah Pulo
638,Semampir,Puskesmas Induk,Pemerintah Kota,Puskesmas Sidotopo
639,Semampir,Puskesmas Induk,Pemerintah Kota,Puskesmas Wonokusumo
640,Semampir,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Pegirian
641,Semampir,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Wonokusumo
642,Semampir,Rumah Sakit Umum,Pemerintah Provinsi,RS Husada Prima
643,Semampir,Apotek,swasta,KEMAJUAN
644,Semampir,Apotek,swasta,MUSTIKA JAYA I
645,Semampir,Apotek,swasta,WONOSARI MEDIKA
646,Semampir,Apotek,swasta,AMIRA
647,Semampir,Apotek,swasta,SURAMADU
648,Semampir,Apotek,swasta,PERMATA P
649,Semampir,Apotek,swasta,VIVA GENERIK WONOKUSUMO
650,Semampir,Apotek,swasta,AZIFAH
651,Semampir,Apotek,swasta,ALMIRA
652,Semampir,Apotek,swasta,K24 WONOKUSUMO
653,SEMAMPIR,Apotek,swasta,RAFA FARMA BULAK JAYA
654,Semampir,Apotek,swasta,BERLIN 3
655,SEMAMPIR,Apotek,swasta,KAHA
656,Semampir,Klinik Pratama,swasta,WACHID HASYIM
657,Semampir,Klinik Pratama,swasta,MEDISKA SIDOTOPO
658,Semampir,Klinik Pratama,swasta,INDOSEHAT 2003
659,Semampir,Klinik Utama,swasta,PROSPEK
660,Semampir,Klinik Utama,swasta,INDOSEHAT 2003
661,Semampir,Klinik Pratama,TNI/POLRI,dr. IDRIS P. SIREGAR
662,Simokerto,Apotek,lainnya,KIMIA FARMA TAMBAK REJO
663,Simokerto,Rumah Sakit Umum,Pemerintah Kota,RS Umum Daerah dr. Mohamad Soewandhie
664,Simokerto,Puskesmas Induk,Pemerintah Kota,Puskesmas Simolawang
665,Simokerto,Puskesmas Induk,Pemerintah Kota,Puskesmas Tambakrejo
666,Simokerto,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Kapasari
667,Simokerto,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Kapasan
668,Simokerto,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Granting
669,Simokerto,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Kebondalem
670,Simokerto,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Sidodadi
671,Simokerto,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Sidoyoso Kali
672,Simokerto,Rumah Sakit Umum,Pemerintah Provinsi,RS Umum Daerah Dr. Soetomo
673,Simokerto,Rumah Sakit Umum,Swasta,RS Umum Adi Husada Kapasari
674,Simokerto,Apotek,swasta,BHUMYAMCA II
675,Simokerto,Apotek,swasta,SEGARAN
676,Simokerto,Apotek,swasta,MATAHARI FARMA
677,Simokerto,Apotek,swasta,K - 24 KAPASARI
678,Simokerto,Apotek,swasta,SUMBER WARAS
679,Simokerto,Apotek,swasta,TERAS PHARMA
680,Simokerto,Toko Obat,swasta,KENDJERAN
681,Simokerto,Toko Obat,swasta,toko Obat PT. Trans Retail Indonesia Cabang Carrefour ITC Mega Grosir Surabaya
682,Simokerto,Klinik Utama,swasta,PROSPEK (SIMOKERTO)
683,Sukolilo,Apotek,lainnya,KIMIA FARMA KLAMPIS
684,SUKOLILO,Apotek,lainnya,KIMIA FARMA MENUR
685,Sukolilo,Puskesmas Induk,Pemerintah Kota,Puskesmas Keputih
686,Sukolilo,Puskesmas Induk,Pemerintah Kota,Puskesmas Klampis Ngasem
687,Sukolilo,Puskesmas Induk,Pemerintah Kota,Puskesmas Menur
688,Sukolilo,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Gebang Putih
689,Sukolilo,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Medokan Semampir
690,Sukolilo,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Semolowaru
691,Sukolilo,Rumah Sakit Umum,Pemerintah Provinsi,RS Umum Haji Surabaya
692,Sukolilo,Klinik Utama,Pemerintah Provinsi Jawa Timur,EMBARKASI HAJI SURABAYA
693,Sukolilo,Rumah Sakit Khusus,Swasta,RS Onkologi
694,Sukolilo,Rumah Sakit Umum,Swasta,RS Premier Surabaya
695,Sukolilo,Rumah Sakit Khusus,Swasta,RS Ibu dan Anak Putri Surabaya
696,Sukolilo,Rumah Sakit Umum,Swasta,RS Gotong Royong
697,Sukolilo,Apotek,swasta,MENUR
698,Sukolilo,Apotek,swasta,PRIMADANA
699,Sukolilo,Apotek,swasta,LIBRA
700,Sukolilo,Apotek,swasta,KENJERAN
701,Sukolilo,Apotek,swasta,ASTI FARMA
702,Sukolilo,Apotek,swasta,NATANETTE
703,Sukolilo,Apotek,swasta,LIBRA 2
704,Sukolilo,Apotek,swasta,SELARAS
705,Sukolilo,Apotek,swasta,KARYA SUKSES
706,Sukolilo,Apotek,swasta,K-24 MANYAR
707,Sukolilo,Apotek,swasta,LATOVI
708,Sukolilo,Apotek,swasta,EXPRESS
709,Sukolilo,Apotek,swasta,SENTRA BERKAT
710,Sukolilo,Apotek,swasta,K-24 KLAMPIS
711,Sukolilo,Apotek,swasta,DR. RATNA
712,Sukolilo,Apotek,swasta,SEMAMPIR RAYA
713,Sukolilo,Apotek,swasta,CENTRO FARMA
714,Sukolilo,Apotek,swasta,AALIYA FARMA
715,Sukolilo,Apotek,swasta,RACHMAT
716,Sukolilo,Apotek,swasta,TERANG FARMA
717,Sukolilo,Apotek,swasta,K24 KEPUTIH
718,Sukolilo,Apotek,swasta,ANYA
719,sukolilo,Apotek,swasta,TRIA FARMA
720,Sukolilo,Apotek,swasta,Lifepack
721,Sukolilo,Toko Obat,swasta,SUPER INDO SEMOLOWARU
722,SUKOLILO,Toko Obat,swasta,SUPER INDO ARIF RAHMAN HAKIM
723,Sukolilo,Toko Obat,swasta,GUARDIAN AR HAKIM
724,Sukolilo,Toko Obat,swasta,KLAMPIS SEMOLO
725,Sukolilo,Toko Obat,swasta,Hypermart Arief Rachman Hakim
726,Sukolilo,Klinik Pratama,swasta,STIESIA
727,Sukolilo,Klinik Pratama,swasta,EMDEE
728,Sukolilo,Klinik Pratama,swasta,GOTONG ROYONG I
729,Sukolilo,Klinik Pratama,swasta,MEDICAL CENTER ITS
730,Sukolilo,Klinik Pratama,swasta,dr. RETNAWATI
731,Sukolilo,Klinik Pratama,swasta,SILOAM SURABAYA
732,Sukolilo,Klinik Pratama,swasta,FACENA
733,Sukolilo,Klinik Pratama,swasta,FLORA HOUSE OF BEAUTY
734,Sukolilo,Klinik Pratama,swasta,EVINE
735,Sukolilo,Klinik Pratama,swasta,EMDEE
736,Sukolilo,Klinik Utama,swasta,SENTRA REHABILITASI MEDIK MERIDIAN
737,Sukolilo,Klinik Utama,swasta,Universitas 17 Agustus 1945 (UNTAG) Surabaya
738,Sukolilo,Klinik Utama,swasta,LESTARI
739,Sukolilo,Klinik Utama,swasta,D-ARTS DENTAL CLINIC
740,Sukolilo,Klinik Utama,swasta,JET - Z DENTAL AESTHETIC CLINIC
741,Sukomanunggal,Apotek,lainnya,KIMIA FARMA KUPANG JAYA
742,Sukomanunggal,Apotek,lainnya,KIMIA FARMA HR MUHAMMAD
743,Sukomanunggal,Puskesmas Induk,Pemerintah Kota,Puskesmas Simomulyo
744,Sukomanunggal,Puskesmas Induk,Pemerintah Kota,Puskesmas Tanjungsari
745,Sukomanunggal,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Putat Gede
746,Sukomanunggal,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Simohilir
747,Sukomanunggal,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Sonokawijenan
748,Sukomanunggal,Klinik Pratama,Pemerintah Provinsi Jawa Timur,BNN PROVINSI JAWA TIMUR
749,Sukomanunggal,Rumah Sakit Umum,Swasta,RS Umum Mitra Keluarga Surabaya
750,Sukomanunggal,Apotek,swasta,SATELITE
751,Sukomanunggal,Apotek,swasta,SAPUTRA JAYA
752,Sukomanunggal,Apotek,swasta,KUPANG BARU
753,Sukomanunggal,Apotek,swasta,TIARA SATELIT
754,Sukomanunggal,Apotek,swasta,HANSEN
755,Sukomanunggal,Apotek,swasta,AL FALAH
756,Sukomanunggal,Apotek,swasta,WATSONS LAGOON SUNGKONO
757,Sukomanunggal,Apotek,swasta,K-24 SUKOMANUNGGAL
758,Sukomanunggal,Apotek,swasta,K-24 Bukit Darmo
759,Sukomanunggal,Toko Obat,swasta,SUPER INDO SATELIT UTARA
760,Sukomanunggal,Klinik Pratama,swasta,DINAYLA UTAMA 84
761,Sukomanunggal,Klinik Pratama,swasta,ELYON
762,Sukomanunggal,Klinik Pratama,swasta,L'VIORS
763,Sukomanunggal,Klinik Pratama,swasta,ID BEAUTY CLINIC
764,Sukomanunggal,Klinik Pratama,swasta,LARISSA
765,Sukomanunggal,Klinik Pratama,swasta,FAIZAH MEDIKA
766,Sukomanunggal,Klinik Utama,swasta,ABDI MULIA
767,Sukomanunggal,Klinik Utama,swasta,KASIH KARUNIA
768,Sukomanunggal,Klinik Utama,swasta,ABDI MULIA
769,Sukomanunggal,Klinik Utama,swasta,PRIMED
770,Tambaksari,Klinik Pratama,lainnya,POLKES 05.09.04 SURABAYA
771,Tambaksari,Puskesmas Induk,Pemerintah Kota,Puskesmas Gading
772,Tambaksari,Puskesmas Induk,Pemerintah Kota,Puskesmas Pacar Keling
773,Tambaksari,Puskesmas Induk,Pemerintah Kota,Puskesmas Rangkah
774,Tambaksari,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Karang Empat
775,Tambaksari,Rumah Sakit Umum,Swasta,RS Husada Utama Surabaya
776,Tambaksari,Apotek,swasta,BLESSING
777,Tambaksari,Apotek,swasta,SUPER FARMA
778,Tambaksari,Apotek,swasta,LESTARI FARMA
779,Tambaksari,Apotek,swasta,K24 KAPAS KRAMPUNG
780,Tambaksari,Apotek,swasta,PRIMADONA
781,Tambaksari,Apotek,swasta,PUTERI BUANA
782,Tambaksari,Apotek,swasta,PERMATA
783,Tambaksari,Apotek,swasta,TING - TING FARMA
784,Tambaksari,Apotek,swasta,VIVA APOTEK DUKUH SETRO
785,Tambaksari,Apotek,swasta,178
786,Tambaksari,Apotek,swasta,SILVIANA
787,Tambaksari,Apotek,swasta,VIVA APOTEK KAPAS MADYA
788,Tambaksari,Apotek,swasta,GOLDEN FARMA
789,Tambaksari,Apotek,swasta,JOYFUL
790,Tambaksari,Apotek,swasta,SAHABAT SEHAT
791,Tambaksari,Apotek,swasta,GABRIEL
792,Tambaksari,Apotek,swasta,NICHO
793,Tambaksari,Apotek,swasta,BASKARA
794,Tambaksari,Apotek,swasta,SABILILLAH
795,Tambaksari,Apotek,swasta,SYIFA
796,Tambaksari,Apotek,swasta,K - 24 PLOSO
797,Tambaksari,Apotek,swasta,MALIKA
798,Tambaksari,Apotek,swasta,BK
799,Tambaksari,Apotek,swasta,MEKAR REJEKI FARMA
800,Tambaksari,Apotek,swasta,DUKUH SETRO
801,Tambaksari,Apotek,swasta,VIVA APOTEK KARANG ASEM
802,Tambaksari,Toko Obat,swasta,WAN FU DANG
803,Tambaksari,Toko Obat,swasta,WAN HO DANG
804,Tambaksari,Klinik Pratama,swasta,TABITA
805,Tambaksari,Klinik Pratama,swasta,MEDISKA SURABAYA GUBENG
806,Tambaksari,Klinik Pratama,swasta,WISMA HUSADA
807,Tambaksari,Klinik Pratama,swasta,SURYA GIRI JAYA 122
808,Tambaksari,Klinik Pratama,swasta,PALANG MERAH INDONESIA
809,Tambaksari,Klinik Pratama,swasta,ALBA MEDIKA
810,Tambaksari,Klinik Pratama,swasta,INDIRA
811,Tambaksari,Klinik Pratama,swasta,KAPAS MADYA
812,Tambaksari,Klinik Pratama,swasta,KEELA
813,Tambaksari,Klinik Pratama,swasta,ESTETIKA LARISSA
814,Tambaksari,Klinik Pratama,swasta,BEAUDENT
815,Tambaksari,Klinik Utama,swasta,WALUYO JATI
816,Tambaksari,Klinik Utama,swasta,VINCENTIUS KRISTUS RAJA
817,Tambaksari,Klinik Utama,swasta,SAHABAT MEDIKA
818,Tambaksari,Klinik Utama,swasta,ADI GUNA
819,Tandes,Apotek,lainnya,PRIMA ANUGERAH
820,Tandes,Puskesmas Induk,Pemerintah Kota,Puskesmas Balongsari
821,Tandes,Puskesmas Induk,Pemerintah Kota,Puskesmas Manukan Kulon
822,Tandes,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Banjarsugihan
823,Tandes,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Buntaran
824,Tandes,Rumah Sakit Umum,Swasta,RS Muji Rahayu
825,Tandes,Apotek,swasta,JAYA MULYA
826,Tandes,Apotek,swasta,AMORITA FARMA
827,Tandes,Apotek,swasta,MUKTI HUSADA
828,Tandes,Apotek,swasta,KRAJAN
829,Tandes,Apotek,swasta,K - 24 DARMO INDAH
830,Tandes,Apotek,swasta,K24 BALONGSARI TAMA
